PARTIDO,ESCAÑOS_2023,VOTOS_2023,%,ESCAÑOS_2021,VOTOS_2021,%
PP,"71+6","1.586.985","47.34 %","65","1.620.213","44.73 %"
MM-VQ,"27+3","615.171","18.35 %","24","614.660","16.97 %"
PSOE,"27+3","609.718","18.19 %","24","610.190","16.85 %"
VOX,"10-3","245.215","7.31 %","13","330.660","9.13 %"
PODEMOS-IU-AV,"0-10","158.831","4.73 %","10","261.010","7.21 %"
CS,"0=","52.394","1.56 %","0","129.216","3.57 %"
PACMA,"0=","23.216","0.69 %","0","15.507","0.43 %"
PUM+J,"0=","7.252","0.21 %","0","2.517","0.07 %"
PFE,"0","5.414","0.16 %","-","-","-"
PCTE,"0=","4.765","0.14 %","0","1.653","0.05 %"
FE DE LAS JONS,"0=","3.123","0.09 %","0","1.129","0.03 %"
ULEG,"0","2.563","0.07 %","-","-","-"
PH,"0=","2.358","0.07 %","0","1.019","0.03 %"
EB,"-","-","-","0","2.660","0.07 %"
PARTIDO AUTÓNOMOS,"-","-","-","0","2.151","0.06 %"
VOLT,"-","-","-","0","1.882","0.05 %"
3E EN ACCIÓN,"-","-","-","0","1.804","0.05 %"
RECORTES CERO-PCAS-TC-GV-M,"-","-","-","0","1.688","0.05 %"
UDEC,"-","-","-","0","1.680","0.05 %"
P-LIB,"-","-","-","0","1.252","0.03 %"
PCOE-PCPE,"-","-","-","0","1.152","0.03 %"
POLE,"-","-","-","0","1.134","0.03 %"
