Comunidad Autónoma y Provincia	Tipo de indicador	años	Total
Total	HUELGAS DESARROLLADAS	2001	729,0
Total	HUELGAS DESARROLLADAS	2000	727,0
Total	HUELGAS DESARROLLADAS	1999	739,0
Total	HUELGAS DESARROLLADAS	1998	618,0
Total	HUELGAS DESARROLLADAS	1997	709,0
Total	HUELGAS DESARROLLADAS	1996	807,0
Total	HUELGAS DESARROLLADAS	1995	866,0
Total	HUELGAS DESARROLLADAS	1994	889,0
Total	HUELGAS DESARROLLADAS	1993	1.131,0
Total	HUELGAS DESARROLLADAS	1992	1.295,0
Total	HUELGAS DESARROLLADAS	1991	1.552,0
Total	CENTROS DE TRABAJO CONVOCADOS	2001	574.648,0
Total	CENTROS DE TRABAJO CONVOCADOS	2000	722.129,0
Total	CENTROS DE TRABAJO CONVOCADOS	1999	91.388,0
Total	CENTROS DE TRABAJO CONVOCADOS	1998	118.642,0
Total	CENTROS DE TRABAJO CONVOCADOS	1997	167.064,0
Total	CENTROS DE TRABAJO CONVOCADOS	1996	108.035,0
Total	CENTROS DE TRABAJO CONVOCADOS	1995	76.614,0
Total	CENTROS DE TRABAJO CONVOCADOS	1994	78.444,0
Total	CENTROS DE TRABAJO CONVOCADOS	1993	166.219,0
Total	CENTROS DE TRABAJO CONVOCADOS	1992	266.359,0
Total	CENTROS DE TRABAJO CONVOCADOS	1991	207.168,0
Total	TRABAJADORES PARTICIPANTES (miles)	2001	1.242,5
Total	TRABAJADORES PARTICIPANTES (miles)	2000	2.061,3
Total	TRABAJADORES PARTICIPANTES (miles)	1999	1.125,1
Total	TRABAJADORES PARTICIPANTES (miles)	1998	671,9
Total	TRABAJADORES PARTICIPANTES (miles)	1997	631,0
Total	TRABAJADORES PARTICIPANTES (miles)	1996	1.078,0
Total	TRABAJADORES PARTICIPANTES (miles)	1995	569,9
Total	TRABAJADORES PARTICIPANTES (miles)	1994	452,8
Total	TRABAJADORES PARTICIPANTES (miles)	1993	968,7
Total	TRABAJADORES PARTICIPANTES (miles)	1992	1.678,6
Total	TRABAJADORES PARTICIPANTES (miles)	1991	1.944,5
Total	JORNADAS NO TRABAJADAS (miles)	2001	1.917,0
Total	JORNADAS NO TRABAJADAS (miles)	2000	3.577,3
Total	JORNADAS NO TRABAJADAS (miles)	1999	1.477,5
Total	JORNADAS NO TRABAJADAS (miles)	1998	1.263,5
Total	JORNADAS NO TRABAJADAS (miles)	1997	1.790,1
Total	JORNADAS NO TRABAJADAS (miles)	1996	1.552,9
Total	JORNADAS NO TRABAJADAS (miles)	1995	1.442,9
Total	JORNADAS NO TRABAJADAS (miles)	1994	1.279,8
Total	JORNADAS NO TRABAJADAS (miles)	1993	2.012,7
Total	JORNADAS NO TRABAJADAS (miles)	1992	4.055,8
Total	JORNADAS NO TRABAJADAS (miles)	1991	4.421,3
Andalucía	HUELGAS DESARROLLADAS	2001	44,0
Andalucía	HUELGAS DESARROLLADAS	2000	84,0
Andalucía	HUELGAS DESARROLLADAS	1999	113,0
Andalucía	HUELGAS DESARROLLADAS	1998	138,0
Andalucía	HUELGAS DESARROLLADAS	1997	129,0
Andalucía	HUELGAS DESARROLLADAS	1996	127,0
Andalucía	HUELGAS DESARROLLADAS	1995	120,0
Andalucía	HUELGAS DESARROLLADAS	1994	138,0
Andalucía	HUELGAS DESARROLLADAS	1993	191,0
