Tipo de jornada	Comunidades y Ciudades Autonómas	Decil	Periodo	Total
Total	Total Nacional	Total decil	2022	2.128,37
Total	Total Nacional	Total decil	2021	2.086,78
Total	Total Nacional	Total decil	2020	2.038,59
Total	Total Nacional	Total decil	2019	1.982,31
Total	Total Nacional	Total decil	2018	1.944,42
Total	Total Nacional	Total decil	2017	1.888,95
Total	Total Nacional	Total decil	2016	1.878,09
Total	Total Nacional	Total decil	2015	1.893,7
Total	Total Nacional	Total decil	2014	1.881,32
Total	Total Nacional	Total decil	2013	1.869,11
Total	Total Nacional	Total decil	2012	1.850,26
Total	Total Nacional	Total decil	2011	1.841,75
Total	Total Nacional	Total decil	2010	1.838,82
Total	Total Nacional	Total decil	2009	1.815,18
Total	Total Nacional	Total decil	2008	1.774,34
Total	Total Nacional	Total decil	2007	1.643,46
Total	Total Nacional	Total decil	2006	1.572,59
Total	Total Nacional	1	2022	623,3
Total	Total Nacional	1	2021	570,52
Total	Total Nacional	1	2020	521,33
Total	Total Nacional	1	2019	532,31
Total	Total Nacional	1	2018	479,9
Total	Total Nacional	1	2017	464,34
Total	Total Nacional	1	2016	462,72
Total	Total Nacional	1	2015	420,05
Total	Total Nacional	1	2014	411,17
Total	Total Nacional	1	2013	414,49
Total	Total Nacional	1	2012	425,57
Total	Total Nacional	1	2011	464,5
Total	Total Nacional	1	2010	482,43
Total	Total Nacional	1	2009	495,94
Total	Total Nacional	1	2008	501,25
Total	Total Nacional	1	2007	501,73
Total	Total Nacional	1	2006	474,18
Total	Total Nacional	2	2022	1.138,68
Total	Total Nacional	2	2021	1.042,58
Total	Total Nacional	2	2020	1.006,63
Total	Total Nacional	2	2019	994,51
Total	Total Nacional	2	2018	904,87
Total	Total Nacional	2	2017	863,9
Total	Total Nacional	2	2016	856,88
Total	Total Nacional	2	2015	828,96
Total	Total Nacional	2	2014	819,61
Total	Total Nacional	2	2013	812,18
Total	Total Nacional	2	2012	840,19
Total	Total Nacional	2	2011	863,82
Total	Total Nacional	2	2010	893,11
Total	Total Nacional	2	2009	875,93
Total	Total Nacional	2	2008	888,73
Total	Total Nacional	2	2007	852,21
Total	Total Nacional	2	2006	800,67
Total	Total Nacional	3	2022	1.346,27
Total	Total Nacional	3	2021	1.267,6
Total	Total Nacional	3	2020	1.236,99
Total	Total Nacional	3	2019	1.222,45
Total	Total Nacional	3	2018	1.156,51
Total	Total Nacional	3	2017	1.121,9
Total	Total Nacional	3	2016	1.118,31
Total	Total Nacional	3	2015	1.102,14
Total	Total Nacional	3	2014	1.100,85
Total	Total Nacional	3	2013	1.103,32
Total	Total Nacional	3	2012	1.121,65
Total	Total Nacional	3	2011	1.128,86
Total	Total Nacional	3	2010	1.141,96
Total	Total Nacional	3	2009	1.120,03
Total	Total Nacional	3	2008	1.113,37
Total	Total Nacional	3	2007	1.060,66
Total	Total Nacional	3	2006	1.006,02
Total	Total Nacional	4	2022	1.528,94
Total	Total Nacional	4	2021	1.461,63
Total	Total Nacional	4	2020	1.423,4
Total	Total Nacional	4	2019	1.418,13
Total	Total Nacional	4	2018	1.357,44
Total	Total Nacional	4	2017	1.323
Total	Total Nacional	4	2016	1.325,36
Total	Total Nacional	4	2015	1.310,96
Total	Total Nacional	4	2014	1.315,48
Total	Total Nacional	4	2013	1.318,7
Total	Total Nacional	4	2012	1.322,12
Total	Total Nacional	4	2011	1.309,99
Total	Total Nacional	4	2010	1.316,31
Total	Total Nacional	4	2009	1.290,22
Total	Total Nacional	4	2008	1.267,34
Total	Total Nacional	4	2007	1.203,8
Total	Total Nacional	4	2006	1.144,23
Total	Total Nacional	5	2022	1.717,18
Total	Total Nacional	5	2021	1.657,27
Total	Total Nacional	5	2020	1.606,91
Total	Total Nacional	5	2019	1.595,3
Total	Total Nacional	5	2018	1.546,73
Total	Total Nacional	5	2017	1.497,73
Total	Total Nacional	5	2016	1.498,22
Total	Total Nacional	5	2015	1.497,67
Total	Total Nacional	5	2014	1.502,97
Total	Total Nacional	5	2013	1.503,02
Total	Total Nacional	5	2012	1.492,68
Total	Total Nacional	5	2011	1.484,84
Total	Total Nacional	5	2010	1.478,49
Total	Total Nacional	5	2009	1.443,59
Total	Total Nacional	5	2008	1.411,69
Total	Total Nacional	5	2007	1.337,14
Total	Total Nacional	5	2006	1.270,35
Total	Total Nacional	6	2022	1.923,82
Total	Total Nacional	6	2021	1.874
Total	Total Nacional	6	2020	1.816,81
Total	Total Nacional	6	2019	1.793,56
Total	Total Nacional	6	2018	1.752,61
Total	Total Nacional	6	2017	1.698,01
Total	Total Nacional	6	2016	1.703,87
Total	Total Nacional	6	2015	1.703,73
Total	Total Nacional	6	2014	1.715,14
Total	Total Nacional	6	2013	1.703,65
Total	Total Nacional	6	2012	1.685,43
Total	Total Nacional	6	2011	1.678,8
Total	Total Nacional	6	2010	1.667,4
Total	Total Nacional	6	2009	1.627,28
Total	Total Nacional	6	2008	1.577,72
Total	Total Nacional	6	2007	1.491,6
Total	Total Nacional	6	2006	1.418,54
Total	Total Nacional	7	2022	2.195,67
Total	Total Nacional	7	2021	2.163,23
Total	Total Nacional	7	2020	2.107,38
Total	Total Nacional	7	2019	2.058,48
Total	Total Nacional	7	2018	2.017,4
Total	Total Nacional	7	2017	1.970,29
Total	Total Nacional	7	2016	1.969,37
Total	Total Nacional	7	2015	1.960,42
Total	Total Nacional	7	2014	1.996,68
Total	Total Nacional	7	2013	1.979,18
Total	Total Nacional	7	2012	1.943,47
Total	Total Nacional	7	2011	1.926,53
Total	Total Nacional	7	2010	1.916,64
Total	Total Nacional	7	2009	1.869,76
Total	Total Nacional	7	2008	1.795,61
Total	Total Nacional	7	2007	1.703,23
Total	Total Nacional	7	2006	1.629,36
Total	Total Nacional	8	2022	2.602,46
Total	Total Nacional	8	2021	2.576,34
Total	Total Nacional	8	2020	2.541,41
Total	Total Nacional	8	2019	2.446,63
Total	Total Nacional	8	2018	2.422,04
Total	Total Nacional	8	2017	2.363,15
Total	Total Nacional	8	2016	2.355
Total	Total Nacional	8	2015	2.363,55
Total	Total Nacional	8	2014	2.386,34
Total	Total Nacional	8	2013	2.364,47
Total	Total Nacional	8	2012	2.304,23
Total	Total Nacional	8	2011	2.291,51
Total	Total Nacional	8	2010	2.291,37
Total	Total Nacional	8	2009	2.240,02
Total	Total Nacional	8	2008	2.144,92
Total	Total Nacional	8	2007	2.043,02
Total	Total Nacional	8	2006	1.960,29
Total	Total Nacional	9	2022	3.187,59
Total	Total Nacional	9	2021	3.159,64
Total	Total Nacional	9	2020	3.160,32
Total	Total Nacional	9	2019	3.035,46
Total	Total Nacional	9	2018	3.006,17
Total	Total Nacional	9	2017	2.955,46
Total	Total Nacional	9	2016	2.921,88
Total	Total Nacional	9	2015	2.964,23
Total	Total Nacional	9	2014	2.946,62
Total	Total Nacional	9	2013	2.915,77
Total	Total Nacional	9	2012	2.851,55
Total	Total Nacional	9	2011	2.847,54
Total	Total Nacional	9	2010	2.842,26
Total	Total Nacional	9	2009	2.818,47
Total	Total Nacional	9	2008	2.695,83
Total	Total Nacional	9	2007	2.570,05
Total	Total Nacional	9	2006	2.447,82
Total	Total Nacional	10	2022	5.019,08
Total	Total Nacional	10	2021	5.092,67
Total	Total Nacional	10	2020	4.964,01
Total	Total Nacional	10	2019	4.725,47
Total	Total Nacional	10	2018	4.799,61
Total	Total Nacional	10	2017	4.631,17
Total	Total Nacional	10	2016	4.568,68
Total	Total Nacional	10	2015	4.784,5
Total	Total Nacional	10	2014	4.616,94
Total	Total Nacional	10	2013	4.574,92
Total	Total Nacional	10	2012	4.515,01
Total	Total Nacional	10	2011	4.418,37
Total	Total Nacional	10	2010	4.356,53
Total	Total Nacional	10	2009	4.370,12
Total	Total Nacional	10	2008	4.346,26
Total	Total Nacional	10	2007	3.670,83
Total	Total Nacional	10	2006	3.573,7
Total	01 Andalucía	Total decil	2022	1.914,87
Total	01 Andalucía	Total decil	2021	1.860,56
Total	01 Andalucía	Total decil	2020	1.837,33
Total	01 Andalucía	Total decil	2019	1.773,03
Total	01 Andalucía	Total decil	2018	1.748,97
Total	01 Andalucía	Total decil	2017	1.681,31
Total	01 Andalucía	Total decil	2016	1.686,4
Total	01 Andalucía	Total decil	2015	1.653,89
Total	01 Andalucía	Total decil	2014	1.645,51
Total	01 Andalucía	Total decil	2013	1.645,35
Total	01 Andalucía	Total decil	2012	1.638,96
Total	01 Andalucía	Total decil	2011	1.676,98
Total	01 Andalucía	Total decil	2010	1.658,84
Total	01 Andalucía	Total decil	2009	1.659,85
Total	01 Andalucía	Total decil	2008	1.601,81
Total	01 Andalucía	Total decil	2007	1.512,69
Total	01 Andalucía	Total decil	2006	1.444,01
Total	01 Andalucía	1	2022	626,54
Total	01 Andalucía	1	2021	571,95
Total	01 Andalucía	1	2020	533,04
Total	01 Andalucía	1	2019	535,08
Total	01 Andalucía	1	2018	495,01
Total	01 Andalucía	1	2017	451,94
Total	01 Andalucía	1	2016	460,23
Total	01 Andalucía	1	2015	432,86
Total	01 Andalucía	1	2014	402,1
Total	01 Andalucía	1	2013	406,34
Total	01 Andalucía	1	2012	427,97
Total	01 Andalucía	1	2011	471,79
Total	01 Andalucía	1	2010	489,14
Total	01 Andalucía	1	2009	511,11
Total	01 Andalucía	1	2008	504,4
Total	01 Andalucía	1	2007	504,83
Total	01 Andalucía	1	2006	472,84
Total	01 Andalucía	2	2022	1.139,95
Total	01 Andalucía	2	2021	1.043,06
Total	01 Andalucía	2	2020	998,4
Total	01 Andalucía	2	2019	992,45
Total	01 Andalucía	2	2018	899,26
Total	01 Andalucía	2	2017	862,95
Total	01 Andalucía	2	2016	852,25
Total	01 Andalucía	2	2015	827,01
Total	01 Andalucía	2	2014	821,22
Total	01 Andalucía	2	2013	807,81
Total	01 Andalucía	2	2012	834,6
Total	01 Andalucía	2	2011	860,78
Total	01 Andalucía	2	2010	894,92
Total	01 Andalucía	2	2009	871,22
Total	01 Andalucía	2	2008	886,73
Total	01 Andalucía	2	2007	845,29
Total	01 Andalucía	2	2006	797
Total	01 Andalucía	3	2022	1.346,28
Total	01 Andalucía	3	2021	1.271,16
Total	01 Andalucía	3	2020	1.234,85
Total	01 Andalucía	3	2019	1.223,13
Total	01 Andalucía	3	2018	1.149,48
Total	01 Andalucía	3	2017	1.113,9
Total	01 Andalucía	3	2016	1.108,28
Total	01 Andalucía	3	2015	1.098,03
Total	01 Andalucía	3	2014	1.101,22
Total	01 Andalucía	3	2013	1.103,58
Total	01 Andalucía	3	2012	1.118,12
Total	01 Andalucía	3	2011	1.124,11
Total	01 Andalucía	3	2010	1.141,7
Total	01 Andalucía	3	2009	1.119,65
Total	01 Andalucía	3	2008	1.116,66
Total	01 Andalucía	3	2007	1.059,33
Total	01 Andalucía	3	2006	1.006,5
Total	01 Andalucía	4	2022	1.527,28
Total	01 Andalucía	4	2021	1.456,37
Total	01 Andalucía	4	2020	1.421,48
Total	01 Andalucía	4	2019	1.414,48
Total	01 Andalucía	4	2018	1.360,43
Total	01 Andalucía	4	2017	1.324,33
Total	01 Andalucía	4	2016	1.324,25
Total	01 Andalucía	4	2015	1.312,27
Total	01 Andalucía	4	2014	1.314,87
Total	01 Andalucía	4	2013	1.316,86
Total	01 Andalucía	4	2012	1.316,55
Total	01 Andalucía	4	2011	1.307,19
Total	01 Andalucía	4	2010	1.318,6
Total	01 Andalucía	4	2009	1.287,89
Total	01 Andalucía	4	2008	1.270,61
Total	01 Andalucía	4	2007	1.203,88
Total	01 Andalucía	4	2006	1.142,87
Total	01 Andalucía	5	2022	1.717,15
Total	01 Andalucía	5	2021	1.661,94
Total	01 Andalucía	5	2020	1.604,29
Total	01 Andalucía	5	2019	1.597,11
Total	01 Andalucía	5	2018	1.544,71
Total	01 Andalucía	5	2017	1.500,47
Total	01 Andalucía	5	2016	1.500,45
Total	01 Andalucía	5	2015	1.500,94
Total	01 Andalucía	5	2014	1.502,71
Total	01 Andalucía	5	2013	1.501,04
Total	01 Andalucía	5	2012	1.496,77
Total	01 Andalucía	5	2011	1.484,84
Total	01 Andalucía	5	2010	1.475,97
Total	01 Andalucía	5	2009	1.443,06
Total	01 Andalucía	5	2008	1.413,33
Total	01 Andalucía	5	2007	1.335,92
Total	01 Andalucía	5	2006	1.268,23
